timestamp,mode,SPTemp,SPHum,SPLight,actTemp,actHum,actLight,manHeater,manComp,manLight,manHum,cpuTemp
19:44:37_3/8/2023,auto,23,90,0,23.0,102,0,False,False,0,True,38.46
19:46:37_3/8/2023,auto,23,90,0,22.9,88,0,False,False,0,True,38.46
19:48:37_3/8/2023,auto,23,90,0,22.8,77,0,False,False,0,True,37.97
19:50:37_3/8/2023,auto,23,90,0,22.8,86,0,False,False,0,True,37.97
19:52:37_3/8/2023,auto,23,90,0,22.8,94,0,False,False,0,True,38.46
19:54:37_3/8/2023,auto,23,90,0,22.9,100,0,False,False,0,True,38.46
19:56:37_3/8/2023,auto,23,90,0,23.0,102,0,False,False,0,True,38.46
19:58:37_3/8/2023,auto,23,90,0,22.9,83,0,False,False,0,True,38.46
20:0:37_3/8/2023,auto,23,90,0,22.8,77,0,False,False,0,True,37.97
20:2:37_3/8/2023,auto,23,90,0,22.8,88,0,False,False,0,True,37.97
20:4:37_3/8/2023,auto,23,90,0,22.8,95,0,False,False,0,True,37.00
20:6:37_3/8/2023,auto,23,90,0,22.9,100,0,False,False,0,True,38.46
20:8:37_3/8/2023,auto,23,90,0,23.0,102,0,False,False,0,True,38.46
20:10:37_3/8/2023,auto,23,90,0,22.9,82,0,False,False,0,True,38.95
20:12:40_3/8/2023,auto,23,90,0,22.8,79,0,False,False,0,True,39.43
20:15:44_3/8/2023,auto,23,90,0,22.8,93,0,False,False,0,False,37.97
20:17:44_3/8/2023,auto,23,90,0,22.9,99,0,False,False,0,False,38.95
20:19:44_3/8/2023,auto,23,90,0,23.0,102,0,False,False,0,False,38.46
20:21:44_3/8/2023,auto,23,90,0,23.0,91,0,False,False,0,False,39.92
20:23:44_3/8/2023,auto,23,90,0,22.9,76,0,False,False,0,False,38.95
20:25:44_3/8/2023,auto,23,90,0,22.8,85,0,False,False,0,False,38.46
20:27:44_3/8/2023,auto,23,90,0,22.8,93,0,False,False,0,False,38.95
20:29:44_3/8/2023,auto,23,90,0,22.9,99,0,False,False,0,False,39.43
20:31:44_3/8/2023,auto,23,90,0,23.0,102,0,False,False,0,False,37.97
20:33:44_3/8/2023,auto,23,90,0,22.9,84,0,False,False,0,False,38.95
20:35:44_3/8/2023,auto,23,90,0,22.9,77,0,False,False,0,False,38.46
20:37:44_3/8/2023,auto,23,90,0,22.8,87,0,False,False,0,False,38.95
20:39:44_3/8/2023,auto,23,90,0,22.8,95,0,False,False,0,False,38.95
20:41:44_3/8/2023,auto,23,90,0,22.9,100,0,False,False,0,False,38.46
20:43:44_3/8/2023,auto,23,90,0,23.0,102,0,False,False,0,False,37.48
20:46:25_3/8/2023,auto,23,90,0,22.9,75,0,False,False,0,False,37.48
20:48:26_3/8/2023,auto,23,90,0,22.8,79,0,False,False,0,False,37.97
20:50:27_3/8/2023,auto,23,90,0,22.8,89,0,False,False,0,False,38.95
20:52:28_3/8/2023,auto,23,90,0,22.8,96,0,False,False,0,False,37.00
20:54:29_3/8/2023,auto,23,90,0,22.9,101,0,False,False,0,False,37.48
20:56:33_3/8/2023,auto,23,90,0,23.0,98,0,False,False,0,False,37.48
20:58:31_3/8/2023,auto,23,90,0,22.9,75,0,False,False,0,False,37.97
21:0:33_3/8/2023,auto,23,90,0,22.8,83,0,False,False,0,False,37.48
21:2:44_3/8/2023,auto,23,90,0,22.8,94,0,False,False,0,False,37.48
21:4:5_3/8/2023,auto,23,90,0,22.8,99,0,False,False,0,False,37.00
21:5:44_3/8/2023,auto,23,90,0,22.9,102,0,False,False,0,False,37.97
21:8:56_3/8/2023,auto,23,90,0,22.9,85,0,False,False,0,False,37.00
21:10:57_3/8/2023,auto,23,90,0,22.8,78,0,False,False,0,False,37.00
21:11:44_3/8/2023,auto,23,90,0,22.8,83,0,False,False,0,False,37.97
21:15:6_3/8/2023,auto,23,90,0,22.8,92,0,False,False,0,False,37.00
21:15:47_3/8/2023,auto,23,90,0,22.8,98,0,False,False,0,False,37.97
21:17:48_3/8/2023,auto,23,90,0,23.0,102,0,False,False,0,False,37.97
21:21:14_3/8/2023,auto,23,90,0,22.9,87,0,False,False,0,False,36.02
21:21:56_3/8/2023,auto,23,90,0,22.8,77,0,False,False,0,False,37.00
21:23:44_3/8/2023,auto,23,90,0,22.8,85,0,False,False,0,False,37.48
21:25:44_3/8/2023,auto,23,90,0,22.8,93,0,False,False,0,False,37.00
21:28:39_3/8/2023,auto,23,90,0,22.9,101,0,False,False,0,False,37.48
21:30:40_3/8/2023,auto,23,90,0,23.0,102,0,False,False,0,False,37.48
21:32:41_3/8/2023,auto,23,90,0,22.9,84,0,False,False,0,False,37.97
21:34:45_3/8/2023,auto,23,90,0,22.8,78,0,False,False,0,False,37.00
21:35:44_3/8/2023,auto,23,90,0,22.8,87,0,False,False,0,False,37.00
21:37:45_3/8/2023,auto,23,90,0,22.8,91,0,False,False,0,False,37.48
21:39:49_3/8/2023,auto,23,90,0,22.8,99,0,False,False,0,False,37.00
21:41:50_3/8/2023,auto,23,90,0,23.0,102,0,False,False,0,False,37.00
21:43:57_3/8/2023,auto,23,90,0,22.9,84,0,False,False,0,False,37.48
21:45:49_3/8/2023,auto,23,90,0,22.8,76,0,False,False,0,False,37.97
21:47:44_3/8/2023,auto,23,90,0,22.8,88,0,False,False,0,False,37.48
21:49:44_3/8/2023,auto,23,90,0,22.8,95,0,False,False,0,False,37.97
21:51:44_3/8/2023,auto,23,90,0,22.9,101,0,False,False,0,False,38.95
21:53:44_3/8/2023,auto,23,90,0,23.0,102,0,False,False,0,False,38.95
21:55:44_3/8/2023,auto,23,90,0,22.9,78,0,False,False,0,False,37.48
21:57:44_3/8/2023,auto,23,90,0,22.8,80,0,False,False,0,False,37.97
21:59:44_3/8/2023,auto,23,90,0,22.8,89,0,False,False,0,False,38.46
22:1:44_3/8/2023,auto,23,90,0,22.8,97,0,False,False,0,False,37.97
22:3:44_3/8/2023,auto,23,90,0,22.9,101,0,False,False,0,False,37.97
22:5:44_3/8/2023,auto,23,90,0,23.0,101,0,False,False,0,False,37.48
22:7:44_3/8/2023,auto,23,90,0,22.8,76,0,False,False,0,False,37.48
22:9:44_3/8/2023,auto,23,90,0,22.8,83,0,False,False,0,False,37.97
22:11:44_3/8/2023,auto,23,90,0,22.8,92,0,False,False,0,False,37.00
22:13:47_3/8/2023,auto,23,90,0,22.8,98,0,False,False,0,False,38.46
22:15:44_3/8/2023,auto,23,90,0,23.0,102,0,False,False,0,False,38.46
22:17:44_3/8/2023,auto,23,90,0,22.9,88,0,False,False,0,False,37.97
22:19:44_3/8/2023,auto,23,90,0,22.8,76,0,False,False,0,False,38.95
22:21:44_3/8/2023,auto,23,90,0,22.8,86,0,False,False,0,False,39.43
22:23:44_3/8/2023,auto,23,90,0,22.8,94,0,False,False,0,False,37.48
22:25:44_3/8/2023,auto,23,90,0,22.9,100,0,False,False,0,False,38.46
22:27:44_3/8/2023,auto,23,90,0,23.0,102,0,False,False,0,False,37.48
22:29:44_3/8/2023,auto,23,90,0,22.9,81,0,False,False,0,False,37.97
22:31:44_3/8/2023,auto,23,90,0,22.8,79,0,False,False,0,False,37.00
22:33:44_3/8/2023,auto,23,90,0,22.8,88,0,False,False,0,False,37.48
22:35:44_3/8/2023,auto,23,90,0,22.8,96,0,False,False,0,False,36.51
22:37:44_3/8/2023,auto,23,90,0,22.9,101,0,False,False,0,False,38.46
22:39:44_3/8/2023,auto,23,90,0,23.0,102,0,False,False,0,False,37.48
22:41:44_3/8/2023,auto,23,90,0,22.9,81,0,False,False,0,False,38.46
22:43:44_3/8/2023,auto,23,90,0,22.8,78,0,False,False,0,False,37.48
22:45:44_3/8/2023,auto,23,90,0,22.8,88,0,False,False,0,False,37.97
22:47:44_3/8/2023,auto,23,90,0,22.8,95,0,False,False,0,False,37.48
22:49:44_3/8/2023,auto,23,90,0,22.9,100,0,False,False,0,False,37.48
22:51:44_3/8/2023,auto,23,90,0,23.0,102,0,False,False,0,False,37.97
22:53:44_3/8/2023,auto,23,90,0,22.9,80,0,False,False,0,False,37.48
22:55:44_3/8/2023,auto,23,90,0,22.8,80,0,False,False,0,False,37.97
22:57:44_3/8/2023,auto,23,90,0,22.8,89,0,False,False,0,False,37.48
22:59:44_3/8/2023,auto,23,90,0,22.8,96,0,False,False,0,False,38.46
23:1:44_3/8/2023,auto,23,90,0,22.9,101,0,False,False,0,False,37.48
23:3:44_3/8/2023,auto,23,90,0,23.0,102,0,False,False,0,False,38.46
23:5:44_3/8/2023,auto,23,90,0,22.9,77,0,False,False,0,False,37.97
23:7:44_3/8/2023,auto,23,90,0,22.8,81,0,False,False,0,False,38.46
23:9:44_3/8/2023,auto,23,90,0,22.8,90,0,False,False,0,False,37.48
23:11:44_3/8/2023,auto,23,90,0,22.8,97,0,False,False,0,False,38.95
23:13:47_3/8/2023,auto,23,90,0,22.9,102,0,False,False,0,False,38.46
23:15:44_3/8/2023,auto,23,90,0,23.0,101,0,False,False,0,False,37.97
23:17:44_3/8/2023,auto,23,90,0,22.9,75,0,False,False,0,False,37.97
23:19:44_3/8/2023,auto,23,90,0,22.8,82,0,False,False,0,False,37.97
23:21:44_3/8/2023,auto,23,90,0,22.8,91,0,False,False,0,False,38.46
23:23:44_3/8/2023,auto,23,90,0,22.8,98,0,False,False,0,False,37.48
23:25:44_3/8/2023,auto,23,90,0,22.9,102,0,False,False,0,False,37.97
23:27:44_3/8/2023,auto,23,90,0,22.9,97,0,False,False,0,False,37.48
23:29:44_3/8/2023,auto,23,90,0,22.8,74,0,False,False,0,False,38.46
23:31:44_3/8/2023,auto,23,90,0,22.8,83,0,False,False,0,False,38.46
23:33:44_3/8/2023,auto,23,90,0,22.7,91,0,False,False,0,False,37.00
23:35:44_3/8/2023,auto,23,90,0,22.8,98,0,False,False,0,False,38.46
23:37:44_3/8/2023,auto,23,90,0,22.9,102,0,False,False,0,False,37.97
23:39:44_3/8/2023,auto,23,90,0,23.0,102,0,False,False,0,False,38.95
23:41:44_3/8/2023,auto,23,90,0,22.9,81,0,False,False,0,False,37.48
23:43:44_3/8/2023,auto,23,90,0,22.8,79,0,False,False,0,False,38.46
23:45:44_3/8/2023,auto,23,90,0,22.8,89,0,False,False,0,False,38.46
23:47:44_3/8/2023,auto,23,90,0,22.8,96,0,False,False,0,False,37.97
23:49:44_3/8/2023,auto,23,90,0,22.9,101,0,False,False,0,False,37.97
